Deck,Count,Share,Score,Win_Percentage,Deck_links
Silvally Rampardos,1348,11.47%,3676 - 3311 - 104,51.84%,/decks/silvally-a3a-rampardos-a2?game=POCKET&format=standard&set=A3a
Buzzwole ex Pheromosa,1194,10.16%,3245 - 2868 - 84,52.36%,/decks/buzzwole-ex-pheromosa-a3a?game=POCKET&format=standard&set=A3a
Solgaleo ex Shiinotic,981,8.35%,2689 - 2463 - 72,51.47%,/decks/solgaleo-ex-a3-shiinotic-a3a?game=POCKET&format=standard&set=A3a
Buzzwole ex Celesteela,883,7.52%,2544 - 2177 - 86,52.92%,/decks/buzzwole-ex-celesteela-a3a?game=POCKET&format=standard&set=A3a
Giratina ex Darkrai ex,833,7.09%,2253 - 2027 - 64,51.86%,/decks/giratina-ex-a2b-darkrai-ex-a2?game=POCKET&format=standard&set=A3a
Guzzlord ex Nihilego,546,4.65%,1594 - 1344 - 57,53.22%,/decks/guzzlord-ex-nihilego-a3a?game=POCKET&format=standard&set=A3a
Charizard ex Silvally,483,4.11%,1196 - 1220 - 33,48.84%,/decks/charizard-ex-a2b-silvally-a3a?game=POCKET&format=standard&set=A3a
Charizard ex Incineroar ex,256,2.18%,576 - 615 - 11,47.92%,/decks/charizard-ex-a2b-incineroar-ex-a3?game=POCKET&format=standard&set=A3a
Silvally Zeraora,230,1.96%,639 - 573 - 18,51.95%,/decks/silvally-zeraora-a3a?game=POCKET&format=standard&set=A3a
Silvally Blacephalon,214,1.82%,533 - 513 - 22,49.91%,/decks/silvally-blacephalon-a3a?game=POCKET&format=standard&set=A3a
Silvally Oricorio,197,1.68%,536 - 467 - 14,52.70%,/decks/silvally-a3a-oricorio-a3?game=POCKET&format=standard&set=A3a
Greninja Oricorio,173,1.47%,465 - 420 - 13,51.78%,/decks/greninja-a1-oricorio-a3?game=POCKET&format=standard&set=A3a
Decidueye ex Decidueye,164,1.40%,365 - 407 - 2,47.16%,/decks/decidueye-ex-a3-decidueye-a3a?game=POCKET&format=standard&set=A3a
Magnezone Shiinotic,141,1.20%,436 - 356 - 16,53.96%,/decks/magnezone-a2-shiinotic-a3a?game=POCKET&format=standard&set=A3a
Magnezone Oricorio,128,1.09%,296 - 303 - 15,48.21%,/decks/magnezone-a2-oricorio-a3?game=POCKET&format=standard&set=A3a
Guzzlord ex Naganadel,125,1.06%,331 - 298 - 14,51.48%,/decks/guzzlord-ex-naganadel-a3a?game=POCKET&format=standard&set=A3a
Meowscarada Decidueye ex,114,0.97%,232 - 287 - 2,44.53%,/decks/meowscarada-a2b-decidueye-ex-a3?game=POCKET&format=standard&set=A3a
Gallade ex Stoutland,110,0.94%,274 - 268 - 3,50.28%,/decks/gallade-ex-a2-stoutland-a3a?game=POCKET&format=standard&set=A3a
Giratina ex Arceus ex,109,0.93%,283 - 262 - 9,51.08%,/decks/giratina-ex-a2b-arceus-ex-a2a?game=POCKET&format=standard&set=A3a
Giratina ex Magnezone,99,0.84%,254 - 236 - 3,51.52%,/decks/giratina-ex-a2b-magnezone-a2?game=POCKET&format=standard&set=A3a
Charizard ex Turtonator,92,0.78%,225 - 227 - 4,49.34%,/decks/charizard-ex-a2b-turtonator-a3?game=POCKET&format=standard&set=A3a
Arceus ex Crobat,89,0.76%,169 - 228 - 4,42.14%,/decks/arceus-ex-crobat-a2a?game=POCKET&format=standard&set=A3a
Charizard ex Stoutland,83,0.71%,206 - 219 - 3,48.13%,/decks/charizard-ex-a2b-stoutland-a3a?game=POCKET&format=standard&set=A3a
Decidueye ex Pheromosa,71,0.60%,146 - 174 - 3,45.20%,/decks/decidueye-ex-a3-pheromosa-a3a?game=POCKET&format=standard&set=A3a
Garchomp ex Rampardos,69,0.59%,140 - 177 - 3,43.75%,/decks/garchomp-ex-a2a-rampardos-a2?game=POCKET&format=standard&set=A3a
Solgaleo ex Skarmory,62,0.53%,110 - 156 - 2,41.04%,/decks/solgaleo-ex-a3-skarmory-a2?game=POCKET&format=standard&set=A3a
Giratina ex Greninja,60,0.51%,145 - 158 - 6,46.93%,/decks/giratina-ex-a2b-greninja-a1?game=POCKET&format=standard&set=A3a
Palkia ex Silvally,58,0.49%,146 - 154 - 4,48.03%,/decks/palkia-ex-a2-silvally-a3a?game=POCKET&format=standard&set=A3a
Tapu Koko ex Pikachu ex,58,0.49%,116 - 151 - 2,43.12%,/decks/tapu-koko-ex-a3a-pikachu-ex-a2b?game=POCKET&format=standard&set=A3a
Silvally Giratina ex,57,0.49%,179 - 145 - 9,53.75%,/decks/silvally-a3a-giratina-ex-a2b?game=POCKET&format=standard&set=A3a
Tapu Koko ex Oricorio,50,0.43%,138 - 124 - 5,51.69%,/decks/tapu-koko-ex-a3a-oricorio-a3?game=POCKET&format=standard&set=A3a
Gengar ex Gengar,45,0.38%,79 - 125 - 1,38.54%,/decks/gengar-ex-gengar-a1?game=POCKET&format=standard&set=A3a
Naganadel Guzzlord ex,44,0.37%,97 - 104 - 5,47.09%,/decks/naganadel-guzzlord-ex-a3a?game=POCKET&format=standard&set=A3a
Charizard ex Wigglytuff,43,0.37%,99 - 104 - 4,47.83%,/decks/charizard-ex-wigglytuff-a2b?game=POCKET&format=standard&set=A3a
Magnezone Tapu Koko ex,40,0.34%,127 - 109 - 1,53.59%,/decks/magnezone-a2-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A3a
Guzzlord ex Celesteela,40,0.34%,107 - 90 - 4,53.23%,/decks/guzzlord-ex-celesteela-a3a?game=POCKET&format=standard&set=A3a
Charizard ex,38,0.32%,82 - 104 - 1,43.85%,/decks/charizard-ex-a2b?game=POCKET&format=standard&set=A3a
Giratina ex Stoutland,35,0.30%,93 - 82 - 3,52.25%,/decks/giratina-ex-a2b-stoutland-a3a?game=POCKET&format=standard&set=A3a
Tapu Koko ex,30,0.26%,87 - 76 - 1,53.05%,/decks/tapu-koko-ex-a3a?game=POCKET&format=standard&set=A3a
Incineroar ex Turtonator,30,0.26%,80 - 74 - 3,50.96%,/decks/incineroar-ex-turtonator-a3?game=POCKET&format=standard&set=A3a
Incineroar ex Charizard ex,29,0.25%,45 - 66 - 1,40.18%,/decks/incineroar-ex-a3-charizard-ex-a2b?game=POCKET&format=standard&set=A3a
Darkrai ex Weezing,26,0.22%,58 - 72 - 1,44.27%,/decks/darkrai-ex-a2-weezing-a1?game=POCKET&format=standard&set=A3a
Solgaleo ex Silvally,26,0.22%,51 - 66 - 0,43.59%,/decks/solgaleo-ex-a3-silvally-a3a?game=POCKET&format=standard&set=A3a
Celebi ex Serperior,26,0.22%,44 - 77 - 1,36.07%,/decks/celebi-ex-serperior-a1a?game=POCKET&format=standard&set=A3a
Infernape ex Turtonator,26,0.22%,29 - 61 - 1,31.87%,/decks/infernape-ex-a2-turtonator-a3?game=POCKET&format=standard&set=A3a
Giratina ex Silvally,25,0.21%,45 - 67 - 0,40.18%,/decks/giratina-ex-a2b-silvally-a3a?game=POCKET&format=standard&set=A3a
Gengar ex Shiinotic,24,0.20%,55 - 62 - 1,46.61%,/decks/gengar-ex-a1-shiinotic-a3a?game=POCKET&format=standard&set=A3a
Crabominable ex Palkia ex,23,0.20%,50 - 62 - 0,44.64%,/decks/crabominable-ex-a3-palkia-ex-a2?game=POCKET&format=standard&set=A3a
Giratina ex Ultra Necrozma ex,23,0.20%,48 - 64 - 0,42.86%,/decks/giratina-ex-a2b-ultra-necrozma-ex-p-a?game=POCKET&format=standard&set=A3a
Lycanroc Rampardos,22,0.19%,35 - 58 - 2,36.84%,/decks/lycanroc-a3-rampardos-a2?game=POCKET&format=standard&set=A3a
