Deck,Deck_links,Count,Share,Score,Win_Percentage
Mewtwo ex Gardevoir,/decks/mewtwo-ex-gardevoir-a1?game=POCKET&format=standard&set=A1,9535,24.40%,25300 - 23543 - 365,51.41%
Pikachu ex Zebstrika,/decks/pikachu-ex-zebstrika-a1?game=POCKET&format=standard&set=A1,3660,9.37%,10552 - 8852 - 164,53.92%
Charizard ex Moltres ex,/decks/charizard-ex-moltres-ex-a1?game=POCKET&format=standard&set=A1,2651,6.78%,6632 - 6535 - 120,49.91%
Pikachu ex Raichu,/decks/pikachu-ex-raichu-a1?game=POCKET&format=standard&set=A1,2466,6.31%,6870 - 5853 - 98,53.58%
Pikachu ex Electrode,/decks/pikachu-ex-electrode-a1?game=POCKET&format=standard&set=A1,2136,5.47%,5828 - 5113 - 98,52.79%
Charizard ex Arcanine ex,/decks/charizard-ex-arcanine-ex-a1?game=POCKET&format=standard&set=A1,1974,5.05%,5169 - 4671 - 94,52.03%
Starmie ex Articuno ex,/decks/starmie-ex-articuno-ex-a1?game=POCKET&format=standard&set=A1,1320,3.38%,3853 - 3321 - 28,53.50%
Pikachu ex Zapdos ex,/decks/pikachu-ex-zapdos-ex-a1?game=POCKET&format=standard&set=A1,994,2.54%,2722 - 2450 - 52,52.11%
Arbok Weezing,/decks/arbok-weezing-a1?game=POCKET&format=standard&set=A1,958,2.45%,2050 - 2345 - 47,46.15%
Ninetales Rapidash,/decks/ninetales-rapidash-a1?game=POCKET&format=standard&set=A1,942,2.41%,2035 - 2352 - 27,46.10%
Articuno ex Greninja,/decks/articuno-ex-greninja-a1?game=POCKET&format=standard&set=A1,829,2.12%,2289 - 2017 - 25,52.85%
Starmie ex Greninja,/decks/starmie-ex-greninja-a1?game=POCKET&format=standard&set=A1,533,1.36%,1383 - 1298 - 20,51.20%
Marowak ex Sandslash,/decks/marowak-ex-sandslash-a1?game=POCKET&format=standard&set=A1,427,1.09%,932 - 1106 - 19,45.31%
Venusaur ex Exeggutor ex,/decks/venusaur-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,417,1.07%,870 - 1093 - 26,43.74%
Alakazam Weezing,/decks/alakazam-weezing-a1?game=POCKET&format=standard&set=A1,407,1.04%,674 - 1059 - 16,38.54%
Arcanine ex Moltres ex,/decks/arcanine-ex-moltres-ex-a1?game=POCKET&format=standard&set=A1,402,1.03%,960 - 964 - 13,49.56%
Wigglytuff ex Weezing,/decks/wigglytuff-ex-weezing-a1?game=POCKET&format=standard&set=A1,370,0.95%,789 - 873 - 19,46.94%
Wigglytuff ex Arbok,/decks/wigglytuff-ex-arbok-a1?game=POCKET&format=standard&set=A1,347,0.89%,837 - 787 - 29,50.64%
Marowak ex Primeape,/decks/marowak-ex-primeape-a1?game=POCKET&format=standard&set=A1,317,0.81%,691 - 785 - 9,46.53%
Dragonite Weezing,/decks/dragonite-weezing-a1?game=POCKET&format=standard&set=A1,255,0.65%,369 - 630 - 11,36.53%
Articuno ex,/decks/articuno-ex-a1?game=POCKET&format=standard&set=A1,217,0.56%,572 - 524 - 6,51.91%
