,Deck,Count,Share,Score,Win_Percentage,Deck_links
0,Exeggutor ex Celebi ex,5393,12.85%,15010 - 12323 - 300,54.32%,/decks/exeggutor-ex-a1-celebi-ex-a1a?game=POCKET&format=standard&set=A2
1,Darkrai ex Magnezone,4061,9.68%,11603 - 9397 - 215,54.69%,/decks/darkrai-ex-magnezone-a2?game=POCKET&format=standard&set=A2
2,Charizard ex Moltres ex,3388,8.07%,7530 - 7881 - 134,48.44%,/decks/charizard-ex-moltres-ex-a1?game=POCKET&format=standard&set=A2
3,Darkrai ex Greninja,1973,4.70%,5399 - 4538 - 104,53.77%,/decks/darkrai-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2
4,Gyarados ex Greninja,1807,4.31%,4161 - 4291 - 67,48.84%,/decks/gyarados-ex-a1a-greninja-a1?game=POCKET&format=standard&set=A2
5,Palkia ex Vaporeon,1730,4.12%,4241 - 4059 - 67,50.69%,/decks/palkia-ex-a2-vaporeon-a1a?game=POCKET&format=standard&set=A2
6,Magnezone Skarmory,1699,4.05%,4602 - 3972 - 62,53.29%,/decks/magnezone-skarmory-a2?game=POCKET&format=standard&set=A2
7,Weavile ex Darkrai ex,1279,3.05%,3138 - 2989 - 45,50.84%,/decks/weavile-ex-darkrai-ex-a2?game=POCKET&format=standard&set=A2
8,Magnezone Hitmonlee,926,2.21%,2499 - 2224 - 35,52.52%,/decks/magnezone-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2
9,Exeggutor ex Mew ex,827,1.97%,2356 - 2011 - 52,53.32%,/decks/exeggutor-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
10,Pachirisu ex,816,1.94%,2094 - 1900 - 28,52.06%,/decks/pachirisu-ex-a2?game=POCKET&format=standard&set=A2
11,Yanmega ex Dialga ex,707,1.68%,1764 - 1618 - 25,51.78%,/decks/yanmega-ex-dialga-ex-a2?game=POCKET&format=standard&set=A2
12,Exeggutor ex Yanmega ex,692,1.65%,1728 - 1654 - 32,50.62%,/decks/exeggutor-ex-a1-yanmega-ex-a2?game=POCKET&format=standard&set=A2
13,Mewtwo ex Gardevoir,642,1.53%,1051 - 1520 - 31,40.39%,/decks/mewtwo-ex-gardevoir-a1?game=POCKET&format=standard&set=A2
14,Rampardos Lucario,493,1.17%,1308 - 1180 - 20,52.15%,/decks/rampardos-lucario-a2?game=POCKET&format=standard&set=A2
15,Infernape ex Moltres ex,471,1.12%,969 - 1131 - 9,45.95%,/decks/infernape-ex-a2-moltres-ex-a1?game=POCKET&format=standard&set=A2
16,Dialga ex Melmetal,457,1.09%,937 - 1098 - 20,45.60%,/decks/dialga-ex-a2-melmetal-a1?game=POCKET&format=standard&set=A2
17,Celebi ex Serperior,432,1.03%,830 - 1090 - 12,42.96%,/decks/celebi-ex-serperior-a1a?game=POCKET&format=standard&set=A2
18,Darkrai ex Weezing,393,0.94%,874 - 915 - 16,48.42%,/decks/darkrai-ex-a2-weezing-a1?game=POCKET&format=standard&set=A2
19,Gallade ex Lucario,312,0.74%,650 - 792 - 4,44.95%,/decks/gallade-ex-lucario-a2?game=POCKET&format=standard&set=A2
20,Bastiodon Skarmory,280,0.67%,679 - 646 - 5,51.05%,/decks/bastiodon-skarmory-a2?game=POCKET&format=standard&set=A2
21,Pikachu ex Zebstrika,278,0.66%,508 - 633 - 10,44.14%,/decks/pikachu-ex-zebstrika-a1?game=POCKET&format=standard&set=A2
22,Pikachu ex Pachirisu ex,277,0.66%,633 - 652 - 14,48.73%,/decks/pikachu-ex-a1-pachirisu-ex-a2?game=POCKET&format=standard&set=A2
23,Starmie ex Palkia ex,272,0.65%,624 - 684 - 5,47.52%,/decks/starmie-ex-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2
24,Articuno ex Palkia ex,254,0.61%,623 - 607 - 11,50.20%,/decks/articuno-ex-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2
25,Gallade ex Hitmonlee,235,0.56%,508 - 567 - 16,46.56%,/decks/gallade-ex-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2
26,Magnezone Mew ex,219,0.52%,525 - 527 - 7,49.58%,/decks/magnezone-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
27,Articuno ex,214,0.51%,567 - 505 - 4,52.70%,/decks/articuno-ex-a1?game=POCKET&format=standard&set=A2
28,Aerodactyl ex Lucario,205,0.49%,499 - 503 - 6,49.50%,/decks/aerodactyl-ex-a1a-lucario-a2?game=POCKET&format=standard&set=A2
29,Lickilicky ex Dialga ex,191,0.46%,388 - 470 - 2,45.12%,/decks/lickilicky-ex-dialga-ex-a2?game=POCKET&format=standard&set=A2
30,Magnezone Darkrai ex,190,0.45%,488 - 465 - 9,50.73%,/decks/magnezone-darkrai-ex-a2?game=POCKET&format=standard&set=A2
31,Palkia ex Greninja,178,0.42%,453 - 426 - 4,51.30%,/decks/palkia-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2
32,Wormadam Skarmory,174,0.41%,389 - 410 - 7,48.26%,/decks/wormadam-skarmory-a2?game=POCKET&format=standard&set=A2
33,Pikachu ex Zapdos ex,161,0.38%,325 - 385 - 16,44.77%,/decks/pikachu-ex-zapdos-ex-a1?game=POCKET&format=standard&set=A2
34,Palkia ex Articuno ex,143,0.34%,402 - 345 - 7,53.32%,/decks/palkia-ex-a2-articuno-ex-a1?game=POCKET&format=standard&set=A2
35,Magnezone Electivire,143,0.34%,298 - 334 - 3,46.93%,/decks/magnezone-electivire-a2?game=POCKET&format=standard&set=A2
36,Gyarados ex Vaporeon,133,0.32%,258 - 319 - 3,44.48%,/decks/gyarados-ex-vaporeon-a1a?game=POCKET&format=standard&set=A2
37,Primeape Lucario,131,0.31%,311 - 310 - 2,49.92%,/decks/primeape-a1a-lucario-a2?game=POCKET&format=standard&set=A2
38,Mew ex Dialga ex,129,0.31%,232 - 305 - 1,43.12%,/decks/mew-ex-a1a-dialga-ex-a2?game=POCKET&format=standard&set=A2
39,Starmie ex Articuno ex,123,0.29%,278 - 306 - 1,47.52%,/decks/starmie-ex-articuno-ex-a1?game=POCKET&format=standard&set=A2
40,Magnezone Greninja,117,0.28%,296 - 248 - 3,54.11%,/decks/magnezone-a2-greninja-a1?game=POCKET&format=standard&set=A2
41,Garchomp Druddigon,115,0.27%,182 - 273 - 3,39.74%,/decks/garchomp-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
42,Luxray Electivire,114,0.27%,226 - 265 - 5,45.56%,/decks/luxray-electivire-a2?game=POCKET&format=standard&set=A2
43,Rampardos Hitmonlee,113,0.27%,337 - 281 - 8,53.83%,/decks/rampardos-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2
