Deck,Player,Date,Tournament,Placement,Player_Total,Score,Decklist_url,Tournament_url,Decklists
Giratina ex Darkrai ex,Bixie,2025-04-05,Ursiiday's Pocket Weekly #23 • 400 USD Prize,1.0,875.0,12 - 0 - 2,/tournament/67e869ab142155bb4448f1e3/player/bixie/decklist,/tournament/67e869ab142155bb4448f1e3/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""1"",""6"":""1"",""7"":""1"",""8"":""2"",""9"":""2"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Giratina ex"",""1"":""Darkrai ex"",""2"":""Professor's Research"",""3"":""Leaf"",""4"":""Pok\u00e9mon Center"",""5"":""Red"",""6"":""Sabrina"",""7"":""Cyrus"",""8"":""Pok\u00e9 Ball"",""9"":""Potion"",""10"":""Giant Cape"",""11"":""Rocky Helmet""},""Version"":{""0"":""(A2b-35)"",""1"":""(A2-110)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Giratina ex Darkrai ex,Bixie,2025-04-12,Ursiiday's Pocket Weekly #24 • 400 USD Prize,1.0,747.0,12 - 2 - 0,/tournament/67f19d7d17fa475a4bcadeb8/player/bixie/decklist,/tournament/67f19d7d17fa475a4bcadeb8/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""1"",""5"":""1"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""2"",""12"":""2""},""Card"":{""0"":""Giratina ex"",""1"":""Darkrai ex"",""2"":""Professor's Research"",""3"":""Red"",""4"":""Pok\u00e9mon Center"",""5"":""Sabrina"",""6"":""Leaf"",""7"":""Cyrus"",""8"":""Mars"",""9"":""Pok\u00e9 Ball"",""10"":""Potion"",""11"":""Giant Cape"",""12"":""Rocky Helmet""},""Version"":{""0"":""(A2b-35)"",""1"":""(A2-110)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Giratina ex Darkrai ex,Fryrish19,2025-04-19,Ursiiday's Pocket Weekly #25 • 400 USD Prize,1.0,681.0,12 - 2 - 0,/tournament/67fada9357322cac462456f6/player/fryrish19/decklist,/tournament/67fada9357322cac462456f6/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""1"",""5"":""1"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""2"",""12"":""2""},""Card"":{""0"":""Giratina ex"",""1"":""Darkrai ex"",""2"":""Professor's Research"",""3"":""Red"",""4"":""Pok\u00e9mon Center"",""5"":""Sabrina"",""6"":""Leaf"",""7"":""Cyrus"",""8"":""Mars"",""9"":""Pok\u00e9 Ball"",""10"":""Potion"",""11"":""Giant Cape"",""12"":""Rocky Helmet""},""Version"":{""0"":""(A2b-35)"",""1"":""(A2-110)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Giratina ex Darkrai ex,SquaredPiano,2025-04-17,🐸FrogEX Weekly Cup #15 • 50 USD Prize🐸,1.0,272.0,11 - 2 - 0,/tournament/67c48acf36181ea4d6e9aca3/player/squaredpiano/decklist,/tournament/67c48acf36181ea4d6e9aca3/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""1"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""2"",""12"":""1""},""Card"":{""0"":""Giratina ex"",""1"":""Darkrai ex"",""2"":""Professor's Research"",""3"":""Mars"",""4"":""Leaf"",""5"":""Cyrus"",""6"":""Sabrina"",""7"":""Red"",""8"":""Pok\u00e9mon Center"",""9"":""Pok\u00e9 Ball"",""10"":""Potion"",""11"":""Giant Cape"",""12"":""Rocky Helmet""},""Version"":{""0"":""(A2b-35)"",""1"":""(A2-110)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Giratina ex Darkrai ex,Sanutora,2025-04-12,Ursiiday's Pocket Weekly #24 • 400 USD Prize,3.0,747.0,10 - 2 - 1,/tournament/67f19d7d17fa475a4bcadeb8/player/sanutora/decklist,/tournament/67f19d7d17fa475a4bcadeb8/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""2"",""7"":""1"",""8"":""1"",""9"":""1"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Froakie"",""1"":""Frogadier"",""2"":""Greninja"",""3"":""Giratina ex"",""4"":""Druddigon"",""5"":""Darkrai ex"",""6"":""Professor's Research"",""7"":""Cyrus"",""8"":""Leaf"",""9"":""Iono"",""10"":""Pok\u00e9 Ball"",""11"":""Giant Cape""},""Version"":{""0"":""(A1-87)"",""1"":""(A1-88)"",""2"":""(A1-89)"",""3"":""(A2b-35)"",""4"":""(A1a-56)"",""5"":""(A2-110)"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Giratina ex Darkrai ex,Sneak,2025-03-29,Ursiiday's Pocket Weekly #22 • 400 USD Prize,4.0,967.0,10 - 3 - 0,/tournament/67df3f20fb3a86a4cffcd2cd/player/sneak/decklist,/tournament/67df3f20fb3a86a4cffcd2cd/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""1"",""10"":""2"",""11"":""2"",""12"":""1""},""Card"":{""0"":""Druddigon"",""1"":""Darkrai ex"",""2"":""Giratina ex"",""3"":""Shaymin"",""4"":""Professor's Research"",""5"":""Red"",""6"":""Leaf"",""7"":""Sabrina"",""8"":""Mars"",""9"":""Cyrus"",""10"":""Pok\u00e9 Ball"",""11"":""Giant Cape"",""12"":""Rocky Helmet""},""Version"":{""0"":""(A1a-56)"",""1"":""(A2-110)"",""2"":""(A2b-35)"",""3"":""(A2-22)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Giratina ex Darkrai ex,srgiw74144,2025-03-27,🐸FrogEX Weekly Cup #12 • 50 USD Prize🐸,2.0,463.0,11 - 2 - 0,/tournament/67bf9c760b3322ebaa5159fa/player/srgiw74144/decklist,/tournament/67bf9c760b3322ebaa5159fa/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Giratina ex"",""1"":""Darkrai ex"",""2"":""Druddigon"",""3"":""Professor's Research"",""4"":""Leaf"",""5"":""Red"",""6"":""Sabrina"",""7"":""Cyrus"",""8"":""Iono"",""9"":""Pok\u00e9 Ball"",""10"":""Giant Cape"",""11"":""Rocky Helmet""},""Version"":{""0"":""(A2b-35)"",""1"":""(A2-110)"",""2"":""(A1a-56)"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Giratina ex Darkrai ex,xDeSTi,2025-04-19,Ursiiday's Pocket Weekly #25 • 400 USD Prize,3.0,681.0,10 - 3 - 0,/tournament/67fada9357322cac462456f6/player/xdesti/decklist,/tournament/67fada9357322cac462456f6/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""1"",""5"":""1"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""1"",""10"":""2"",""11"":""2"",""12"":""2"",""13"":""1""},""Card"":{""0"":""Darkrai ex"",""1"":""Giratina ex"",""2"":""Professor's Research"",""3"":""Pok\u00e9mon Center"",""4"":""Red"",""5"":""Sabrina"",""6"":""Cyrus"",""7"":""Leaf"",""8"":""Mars"",""9"":""Team Rocket"",""10"":""Pok\u00e9 Ball"",""11"":""Potion"",""12"":""Giant Cape"",""13"":""Rocky Helmet""},""Version"":{""0"":""(A2-110)"",""1"":""(A2b-35)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA"",""13"":""NA""}}"
Giratina ex Darkrai ex,FrogEX | Wawan,2025-04-24,🐸FrogEX Weekly Cup #16 • 50 USD Prize🐸,1.0,209.0,11 - 1 - 0,/tournament/67c48aef36181ea4d6e9aca5/player/wawan/decklist,/tournament/67c48aef36181ea4d6e9aca5/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""1"",""5"":""1"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""1"",""10"":""2"",""11"":""2"",""12"":""2"",""13"":""1""},""Card"":{""0"":""Darkrai ex"",""1"":""Giratina ex"",""2"":""Professor's Research"",""3"":""Pok\u00e9mon Center"",""4"":""Leaf"",""5"":""Mars"",""6"":""Red"",""7"":""Sabrina"",""8"":""Cyrus"",""9"":""Team Rocket"",""10"":""Pok\u00e9 Ball"",""11"":""Potion"",""12"":""Rocky Helmet"",""13"":""Giant Cape""},""Version"":{""0"":""(A2-110)"",""1"":""(A2b-35)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA"",""13"":""NA""}}"
Giratina ex Darkrai ex,Elwood,2025-04-05,Pocket Legends League #25 (Season 2) - 50 USD,1.0,207.0,11 - 1 - 1,/tournament/67e988ce142155bb4448f9aa/player/elwood/decklist,/tournament/67e988ce142155bb4448f9aa/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""1"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""2"",""12"":""1""},""Card"":{""0"":""Darkrai ex"",""1"":""Giratina ex"",""2"":""Professor's Research"",""3"":""Leaf"",""4"":""Pok\u00e9mon Center"",""5"":""Red"",""6"":""Cyrus"",""7"":""Sabrina"",""8"":""Mars"",""9"":""Pok\u00e9 Ball"",""10"":""Potion"",""11"":""Giant Cape"",""12"":""Rocky Helmet""},""Version"":{""0"":""(A2-110)"",""1"":""(A2b-35)"",""2"":""NA"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
