Deck,Count,Share,Score,Win_Percentage,Deck_links
Giratina ex Darkrai ex,2654,20.13%,7284 - 5937 - 221,54.19%,/decks/giratina-ex-a2b-darkrai-ex-a2?game=POCKET&format=standard&set=A2b
Gyarados ex Manaphy,1378,10.45%,3632 - 3116 - 92,53.10%,/decks/gyarados-ex-a1a-manaphy-a2?game=POCKET&format=standard&set=A2b
Giratina ex Mewtwo ex,771,5.85%,1934 - 1790 - 47,51.29%,/decks/giratina-ex-a2b-mewtwo-ex-a1?game=POCKET&format=standard&set=A2b
Gallade ex Hitmonlee,728,5.52%,1718 - 1683 - 38,49.96%,/decks/gallade-ex-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2b
Charizard ex Moltres ex,609,4.62%,1371 - 1379 - 27,49.37%,/decks/charizard-ex-moltres-ex-a1?game=POCKET&format=standard&set=A2b
Dialga ex Arceus ex,551,4.18%,1130 - 1291 - 23,46.24%,/decks/dialga-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A2b
Rampardos Lucario,435,3.30%,1023 - 1001 - 27,49.88%,/decks/rampardos-lucario-a2?game=POCKET&format=standard&set=A2b
Magnezone Meowscarada,402,3.05%,1040 - 928 - 17,52.39%,/decks/magnezone-a2-meowscarada-a2b?game=POCKET&format=standard&set=A2b
Meowscarada Beedrill ex,393,2.98%,848 - 924 - 13,47.51%,/decks/meowscarada-beedrill-ex-a2b?game=POCKET&format=standard&set=A2b
Weavile ex Darkrai ex,320,2.43%,792 - 761 - 16,50.48%,/decks/weavile-ex-darkrai-ex-a2?game=POCKET&format=standard&set=A2b
Magnezone Skarmory,249,1.89%,651 - 588 - 10,52.12%,/decks/magnezone-skarmory-a2?game=POCKET&format=standard&set=A2b
Arceus ex Carnivine,210,1.59%,513 - 498 - 10,50.24%,/decks/arceus-ex-carnivine-a2a?game=POCKET&format=standard&set=A2b
Exeggutor ex Meowscarada,175,1.33%,381 - 415 - 3,47.68%,/decks/exeggutor-ex-a1-meowscarada-a2b?game=POCKET&format=standard&set=A2b
Darkrai ex Greninja,154,1.17%,388 - 364 - 8,51.05%,/decks/darkrai-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2b
Articuno ex,152,1.15%,317 - 354 - 4,46.96%,/decks/articuno-ex-a1?game=POCKET&format=standard&set=A2b
Darkrai ex Giratina ex,101,0.77%,223 - 219 - 7,49.67%,/decks/darkrai-ex-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A2b
Arceus ex Meowscarada,97,0.74%,221 - 215 - 4,50.23%,/decks/arceus-ex-a2a-meowscarada-a2b?game=POCKET&format=standard&set=A2b
Rampardos Hitmonlee,93,0.71%,264 - 208 - 10,54.77%,/decks/rampardos-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2b
Wugtrio ex Palkia ex,80,0.61%,176 - 201 - 1,46.56%,/decks/wugtrio-ex-a2b-palkia-ex-a2?game=POCKET&format=standard&set=A2b
Blastoise ex Manaphy,78,0.59%,132 - 184 - 2,41.51%,/decks/blastoise-ex-a1-manaphy-a2?game=POCKET&format=standard&set=A2b
Darkrai ex Magnezone,73,0.55%,158 - 162 - 2,49.07%,/decks/darkrai-ex-magnezone-a2?game=POCKET&format=standard&set=A2b
