Deck,Count,Share,Score,Win_Percentage,Deck_links
Giratina ex Darkrai ex,1211,12.62%,3494 - 2952 - 133,53.11%,/decks/giratina-ex-a2b-darkrai-ex-a2?game=POCKET&format=standard&set=A4
Espeon ex Sylveon ex,821,8.55%,2402 - 1979 - 79,53.86%,/decks/espeon-ex-a4-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Buzzwole ex Pheromosa,595,6.20%,1816 - 1489 - 63,53.92%,/decks/buzzwole-ex-pheromosa-a3a?game=POCKET&format=standard&set=A4
Charizard ex Sylveon ex,414,4.31%,1065 - 1088 - 23,48.94%,/decks/charizard-ex-a2b-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Guzzlord ex Naganadel,403,4.20%,1210 - 1036 - 47,52.77%,/decks/guzzlord-ex-naganadel-a3a?game=POCKET&format=standard&set=A4
Sylveon ex Greninja,354,3.69%,932 - 896 - 25,50.30%,/decks/sylveon-ex-a3b-greninja-a1?game=POCKET&format=standard&set=A4
Flareon ex Leafeon ex,347,3.62%,930 - 877 - 25,50.76%,/decks/flareon-ex-a3b-leafeon-ex-a2a?game=POCKET&format=standard&set=A4
Crobat ex Sylveon ex,308,3.21%,705 - 748 - 14,48.06%,/decks/crobat-ex-a4-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Silvally Oricorio,305,3.18%,841 - 732 - 36,52.27%,/decks/silvally-a3a-oricorio-a3?game=POCKET&format=standard&set=A4
Silvally Pichu,238,2.48%,698 - 585 - 26,53.32%,/decks/silvally-a3a-pichu-a4?game=POCKET&format=standard&set=A4
Arceus ex Pichu,235,2.45%,692 - 588 - 13,53.52%,/decks/arceus-ex-a2a-pichu-a4?game=POCKET&format=standard&set=A4
Snorlax ex Ho-Oh ex,198,2.06%,450 - 489 - 20,46.92%,/decks/snorlax-ex-a3b-ho-oh-ex-a4?game=POCKET&format=standard&set=A4
Flareon ex Eevee ex,161,1.68%,469 - 419 - 12,52.11%,/decks/flareon-ex-eevee-ex-a3b?game=POCKET&format=standard&set=A4
Buzzwole ex Celesteela,144,1.50%,399 - 353 - 16,51.95%,/decks/buzzwole-ex-celesteela-a3a?game=POCKET&format=standard&set=A4
Darkrai ex Silvally,128,1.33%,268 - 304 - 5,46.45%,/decks/darkrai-ex-a2-silvally-a3a?game=POCKET&format=standard&set=A4
Arceus ex Tapu Koko ex,124,1.29%,325 - 292 - 11,51.75%,/decks/arceus-ex-a2a-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A4
Donphan ex Lucario,122,1.27%,265 - 323 - 1,44.99%,/decks/donphan-ex-a4-lucario-a2?game=POCKET&format=standard&set=A4
Crobat ex Darkrai ex,110,1.15%,217 - 285 - 3,42.97%,/decks/crobat-ex-a4-darkrai-ex-a2?game=POCKET&format=standard&set=A4
Sylveon ex Eevee ex,103,1.07%,244 - 271 - 7,46.74%,/decks/sylveon-ex-eevee-ex-a3b?game=POCKET&format=standard&set=A4
Lugia ex Ho-Oh ex,100,1.04%,229 - 255 - 4,46.93%,/decks/lugia-ex-ho-oh-ex-a4?game=POCKET&format=standard&set=A4
Greninja Oricorio,95,0.99%,255 - 221 - 9,52.58%,/decks/greninja-a1-oricorio-a3?game=POCKET&format=standard&set=A4
Silvally Darkrai ex,90,0.94%,249 - 227 - 5,51.77%,/decks/silvally-a3a-darkrai-ex-a2?game=POCKET&format=standard&set=A4
Arceus ex Oricorio,89,0.93%,263 - 226 - 6,53.13%,/decks/arceus-ex-a2a-oricorio-a3?game=POCKET&format=standard&set=A4
Magcargo,76,0.79%,142 - 194 - 2,42.01%,/decks/magcargo-a4?game=POCKET&format=standard&set=A4
Ho-Oh ex Lugia ex,75,0.78%,173 - 200 - 0,46.38%,/decks/ho-oh-ex-lugia-ex-a4?game=POCKET&format=standard&set=A4
Guzzlord ex Nihilego,69,0.72%,168 - 176 - 8,47.73%,/decks/guzzlord-ex-nihilego-a3a?game=POCKET&format=standard&set=A4
Umbreon ex Sylveon ex,69,0.72%,155 - 175 - 0,46.97%,/decks/umbreon-ex-a4-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Sylveon ex Solgaleo ex,68,0.71%,140 - 176 - 4,43.75%,/decks/sylveon-ex-a3b-solgaleo-ex-a3?game=POCKET&format=standard&set=A4
Arceus ex Crobat,64,0.67%,175 - 169 - 3,50.43%,/decks/arceus-ex-crobat-a2a?game=POCKET&format=standard&set=A4
Donphan ex Rampardos,64,0.67%,161 - 172 - 2,48.06%,/decks/donphan-ex-a4-rampardos-a2?game=POCKET&format=standard&set=A4
Dragonite ex Pichu,53,0.55%,88 - 150 - 0,36.97%,/decks/dragonite-ex-a3b-pichu-a4?game=POCKET&format=standard&set=A4
Naganadel Guzzlord ex,46,0.48%,114 - 108 - 7,49.78%,/decks/naganadel-guzzlord-ex-a3a?game=POCKET&format=standard&set=A4
Leafeon ex Sylveon ex,41,0.43%,100 - 115 - 3,45.87%,/decks/leafeon-ex-a2a-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Crobat ex Umbreon ex,41,0.43%,86 - 111 - 2,43.22%,/decks/crobat-ex-umbreon-ex-a4?game=POCKET&format=standard&set=A4
Dragonite ex Sylveon ex,40,0.42%,74 - 106 - 2,40.66%,/decks/dragonite-ex-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Silvally Arceus ex,37,0.39%,106 - 92 - 3,52.74%,/decks/silvally-a3a-arceus-ex-a2a?game=POCKET&format=standard&set=A4
Solgaleo ex Shiinotic,36,0.38%,65 - 103 - 2,38.24%,/decks/solgaleo-ex-a3-shiinotic-a3a?game=POCKET&format=standard&set=A4
Silvally Magby,35,0.36%,85 - 90 - 2,48.02%,/decks/silvally-a3a-magby-a4?game=POCKET&format=standard&set=A4
Silvally Zeraora,34,0.35%,83 - 97 - 2,45.60%,/decks/silvally-zeraora-a3a?game=POCKET&format=standard&set=A4
Silvally Rampardos,33,0.34%,73 - 82 - 0,47.10%,/decks/silvally-a3a-rampardos-a2?game=POCKET&format=standard&set=A4
Skarmory ex Skarmory,31,0.32%,57 - 70 - 3,43.85%,/decks/skarmory-ex-a4-skarmory-a2?game=POCKET&format=standard&set=A4
Garchomp ex Rampardos,30,0.31%,75 - 79 - 0,48.70%,/decks/garchomp-ex-a2a-rampardos-a2?game=POCKET&format=standard&set=A4
Garchomp ex Sylveon ex,29,0.30%,48 - 72 - 0,40.00%,/decks/garchomp-ex-a2a-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Slurpuff Alcremie,29,0.30%,49 - 85 - 0,36.57%,/decks/slurpuff-alcremie-a3b?game=POCKET&format=standard&set=A4
Arceus ex Typhlosion,28,0.29%,86 - 85 - 3,49.43%,/decks/arceus-ex-a2a-typhlosion-a4?game=POCKET&format=standard&set=A4
Sylveon ex Magnezone,27,0.28%,50 - 66 - 1,42.74%,/decks/sylveon-ex-a3b-magnezone-a2?game=POCKET&format=standard&set=A4
Darkrai ex Arceus ex,26,0.27%,82 - 66 - 1,55.03%,/decks/darkrai-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A4
Umbreon ex Eevee ex,26,0.27%,39 - 63 - 2,37.50%,/decks/umbreon-ex-a4-eevee-ex-a3b?game=POCKET&format=standard&set=A4
Pikachu ex,25,0.26%,53 - 65 - 3,43.80%,/decks/pikachu-ex-a1?game=POCKET&format=standard&set=A4
Sylveon ex Togekiss,25,0.26%,49 - 64 - 1,42.98%,/decks/sylveon-ex-a3b-togekiss-a2?game=POCKET&format=standard&set=A4
Pikachu ex Tapu Koko ex,25,0.26%,52 - 70 - 1,42.28%,/decks/pikachu-ex-a2b-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A4
Flareon ex Sylveon ex,25,0.26%,35 - 62 - 0,36.08%,/decks/flareon-ex-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Tapu Koko ex Arceus ex,22,0.23%,67 - 60 - 1,52.34%,/decks/tapu-koko-ex-a3a-arceus-ex-a2a?game=POCKET&format=standard&set=A4
Pikachu ex Pichu,21,0.22%,70 - 57 - 2,54.26%,/decks/pikachu-ex-a1-pichu-a4?game=POCKET&format=standard&set=A4
Darkrai ex Tyranitar,20,0.21%,47 - 53 - 2,46.08%,/decks/darkrai-ex-a2-tyranitar-a4?game=POCKET&format=standard&set=A4
Sylveon ex Giratina ex,20,0.21%,44 - 54 - 0,44.90%,/decks/sylveon-ex-a3b-giratina-ex-a2b?game=POCKET&format=standard&set=A4
Skarmory ex,18,0.19%,46 - 44 - 1,50.55%,/decks/skarmory-ex-a4?game=POCKET&format=standard&set=A4
Pikachu ex Zapdos ex,18,0.19%,46 - 44 - 2,50.00%,/decks/pikachu-ex-zapdos-ex-a1?game=POCKET&format=standard&set=A4
Ho-Oh ex Snorlax ex,18,0.19%,42 - 44 - 2,47.73%,/decks/ho-oh-ex-a4-snorlax-ex-a3b?game=POCKET&format=standard&set=A4
Incineroar ex,18,0.19%,42 - 49 - 0,46.15%,/decks/incineroar-ex-a3?game=POCKET&format=standard&set=A4
Weavile ex Darkrai ex,18,0.19%,38 - 52 - 0,42.22%,/decks/weavile-ex-darkrai-ex-a2?game=POCKET&format=standard&set=A4
Darkrai ex Giratina ex,17,0.18%,38 - 42 - 1,46.91%,/decks/darkrai-ex-a2-giratina-ex-a2b?game=POCKET&format=standard&set=A4
Arceus ex Magby,17,0.18%,37 - 43 - 0,46.25%,/decks/arceus-ex-a2a-magby-a4?game=POCKET&format=standard&set=A4
Pikachu ex Arceus ex,17,0.18%,43 - 51 - 1,45.26%,/decks/pikachu-ex-a2b-arceus-ex-a2a?game=POCKET&format=standard&set=A4
Arceus ex Ho-Oh ex,16,0.17%,44 - 42 - 0,51.16%,/decks/arceus-ex-a2a-ho-oh-ex-a4?game=POCKET&format=standard&set=A4
Gyarados ex Manaphy,16,0.17%,30 - 37 - 1,44.12%,/decks/gyarados-ex-a1a-manaphy-a2?game=POCKET&format=standard&set=A4
Umbreon ex Darkrai ex,16,0.17%,32 - 49 - 0,39.51%,/decks/umbreon-ex-a4-darkrai-ex-a2?game=POCKET&format=standard&set=A4
Guzzlord ex,15,0.16%,36 - 38 - 1,48.00%,/decks/guzzlord-ex-a3a?game=POCKET&format=standard&set=A4
Darkrai ex Tyrogue,15,0.16%,27 - 31 - 0,46.55%,/decks/darkrai-ex-a2-tyrogue-a4?game=POCKET&format=standard&set=A4
Darkrai ex Pichu,15,0.16%,31 - 38 - 0,44.93%,/decks/darkrai-ex-a2-pichu-a4?game=POCKET&format=standard&set=A4
Aerodactyl ex Rampardos,15,0.16%,22 - 39 - 0,36.07%,/decks/aerodactyl-ex-a1a-rampardos-a2?game=POCKET&format=standard&set=A4
Arceus ex Alolan Raichu ex,14,0.15%,36 - 32 - 3,50.70%,/decks/arceus-ex-a2a-alolan-raichu-ex-a3?game=POCKET&format=standard&set=A4
Sylveon ex Palkia ex,14,0.15%,31 - 34 - 0,47.69%,/decks/sylveon-ex-a3b-palkia-ex-a2?game=POCKET&format=standard&set=A4
Mewtwo ex Gardevoir,14,0.15%,21 - 35 - 0,37.50%,/decks/mewtwo-ex-gardevoir-a1?game=POCKET&format=standard&set=A4
Dragonite ex Ho-Oh ex,14,0.15%,17 - 35 - 0,32.69%,/decks/dragonite-ex-a3b-ho-oh-ex-a4?game=POCKET&format=standard&set=A4
Dragonite ex Dragonite,14,0.15%,16 - 37 - 0,30.19%,/decks/dragonite-ex-a3b-dragonite-a1?game=POCKET&format=standard&set=A4
Guzzlord ex Darkrai ex,13,0.14%,40 - 31 - 2,54.79%,/decks/guzzlord-ex-a3a-darkrai-ex-a2?game=POCKET&format=standard&set=A4
Flareon ex Silvally,13,0.14%,28 - 29 - 0,49.12%,/decks/flareon-ex-a3b-silvally-a3a?game=POCKET&format=standard&set=A4
Pikachu ex Pichu,13,0.14%,31 - 32 - 1,48.44%,/decks/pikachu-ex-a2b-pichu-a4?game=POCKET&format=standard&set=A4
Skarmory ex Wigglytuff,13,0.14%,28 - 36 - 0,43.75%,/decks/skarmory-ex-a4-wigglytuff-a2b?game=POCKET&format=standard&set=A4
Sylveon ex Incineroar ex,13,0.14%,24 - 31 - 2,42.11%,/decks/sylveon-ex-a3b-incineroar-ex-a3?game=POCKET&format=standard&set=A4
Luxray Oricorio,11,0.11%,27 - 26 - 1,50.00%,/decks/luxray-a2-oricorio-a3?game=POCKET&format=standard&set=A4
Ho-Oh ex Celebi ex,11,0.11%,27 - 27 - 0,50.00%,/decks/ho-oh-ex-a4-celebi-ex-a1a?game=POCKET&format=standard&set=A4
Leafeon ex Exeggutor ex,11,0.11%,24 - 24 - 0,50.00%,/decks/leafeon-ex-a2a-exeggutor-ex-a1?game=POCKET&format=standard&set=A4
Sylveon ex Gengar ex,11,0.11%,21 - 29 - 1,41.18%,/decks/sylveon-ex-a3b-gengar-ex-a1?game=POCKET&format=standard&set=A4
Leafeon ex Alolan Exeggutor,11,0.11%,15 - 25 - 0,37.50%,/decks/leafeon-ex-a2a-alolan-exeggutor-a3?game=POCKET&format=standard&set=A4
Gallade ex Hitmontop,11,0.11%,13 - 22 - 0,37.14%,/decks/gallade-ex-a2-hitmontop-a4?game=POCKET&format=standard&set=A4
Espeon ex Eevee ex,11,0.11%,9 - 20 - 0,31.03%,/decks/espeon-ex-a4-eevee-ex-a3b?game=POCKET&format=standard&set=A4
Solgaleo ex,11,0.11%,11 - 25 - 0,30.56%,/decks/solgaleo-ex-a3?game=POCKET&format=standard&set=A4
Arceus ex Crobat ex,10,0.10%,32 - 29 - 1,51.61%,/decks/arceus-ex-a2a-crobat-ex-a4?game=POCKET&format=standard&set=A4
Alolan Exeggutor Celebi ex,10,0.10%,18 - 18 - 0,50.00%,/decks/alolan-exeggutor-a3-celebi-ex-a1a?game=POCKET&format=standard&set=A4
Sylveon ex Arceus ex,10,0.10%,26 - 26 - 0,50.00%,/decks/sylveon-ex-a3b-arceus-ex-a2a?game=POCKET&format=standard&set=A4
Crobat ex Arceus ex,10,0.10%,26 - 27 - 1,48.15%,/decks/crobat-ex-a4-arceus-ex-a2a?game=POCKET&format=standard&set=A4
Charizard ex Moltres ex,10,0.10%,11 - 24 - 0,31.43%,/decks/charizard-ex-moltres-ex-a1?game=POCKET&format=standard&set=A4
Donphan ex Tyrogue,8,0.08%,22 - 18 - 1,53.66%,/decks/donphan-ex-tyrogue-a4?game=POCKET&format=standard&set=A4
Umbreon ex Greninja,8,0.08%,13 - 14 - 0,48.15%,/decks/umbreon-ex-a4-greninja-a1?game=POCKET&format=standard&set=A4
Solgaleo ex Skarmory,8,0.08%,13 - 19 - 1,39.39%,/decks/solgaleo-ex-a3-skarmory-a2?game=POCKET&format=standard&set=A4
Lucario Hitmontop,8,0.08%,13 - 21 - 0,38.24%,/decks/lucario-a2-hitmontop-a4?game=POCKET&format=standard&set=A4
Silvally,7,0.07%,27 - 17 - 1,60.00%,/decks/silvally-a3a?game=POCKET&format=standard&set=A4
Giratina ex Mewtwo ex,7,0.07%,24 - 19 - 1,54.55%,/decks/giratina-ex-a2b-mewtwo-ex-a1?game=POCKET&format=standard&set=A4
Silvally Claydol,7,0.07%,25 - 22 - 1,52.08%,/decks/silvally-claydol-a3a?game=POCKET&format=standard&set=A4
Ho-Oh ex Arceus ex,7,0.07%,16 - 15 - 1,50.00%,/decks/ho-oh-ex-a4-arceus-ex-a2a?game=POCKET&format=standard&set=A4
Magnezone Oricorio,7,0.07%,15 - 18 - 0,45.45%,/decks/magnezone-a2-oricorio-a3?game=POCKET&format=standard&set=A4
Leafeon ex Eevee ex,7,0.07%,19 - 23 - 0,45.24%,/decks/leafeon-ex-a2a-eevee-ex-a3b?game=POCKET&format=standard&set=A4
Sylveon ex Gardevoir,7,0.07%,11 - 14 - 1,42.31%,/decks/sylveon-ex-a3b-gardevoir-a1?game=POCKET&format=standard&set=A4
Celebi ex Leafeon ex,7,0.07%,14 - 20 - 0,41.18%,/decks/celebi-ex-a1a-leafeon-ex-a2a?game=POCKET&format=standard&set=A4
Sylveon ex Espeon ex,7,0.07%,12 - 19 - 0,38.71%,/decks/sylveon-ex-a3b-espeon-ex-a4?game=POCKET&format=standard&set=A4
Alolan Exeggutor Tsareena,7,0.07%,8 - 14 - 0,36.36%,/decks/alolan-exeggutor-tsareena-a3?game=POCKET&format=standard&set=A4
Gengar ex Sylveon ex,7,0.07%,8 - 16 - 0,33.33%,/decks/gengar-ex-a1-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Tapu Koko ex Oricorio,7,0.07%,8 - 18 - 0,30.77%,/decks/tapu-koko-ex-a3a-oricorio-a3?game=POCKET&format=standard&set=A4
Naganadel Darkrai ex,6,0.06%,22 - 15 - 1,57.89%,/decks/naganadel-a3a-darkrai-ex-a2?game=POCKET&format=standard&set=A4
Decidueye ex Decidueye,6,0.06%,11 - 11 - 1,47.83%,/decks/decidueye-ex-a3-decidueye-a3a?game=POCKET&format=standard&set=A4
Lunala ex Giratina ex,6,0.06%,13 - 15 - 0,46.43%,/decks/lunala-ex-a3-giratina-ex-a2b?game=POCKET&format=standard&set=A4
Donphan ex Hitmontop,6,0.06%,12 - 14 - 0,46.15%,/decks/donphan-ex-hitmontop-a4?game=POCKET&format=standard&set=A4
Exeggutor ex Alolan Exeggutor,6,0.06%,12 - 14 - 0,46.15%,/decks/exeggutor-ex-a1-alolan-exeggutor-a3?game=POCKET&format=standard&set=A4
Togekiss Cleffa,6,0.06%,11 - 12 - 1,45.83%,/decks/togekiss-a2-cleffa-a4?game=POCKET&format=standard&set=A4
Lickilicky ex Ho-Oh ex,6,0.06%,15 - 18 - 0,45.45%,/decks/lickilicky-ex-a2-ho-oh-ex-a4?game=POCKET&format=standard&set=A4
Magcargo Magby,6,0.06%,12 - 15 - 0,44.44%,/decks/magcargo-magby-a4?game=POCKET&format=standard&set=A4
Meowscarada Decidueye ex,6,0.06%,13 - 18 - 1,40.63%,/decks/meowscarada-a2b-decidueye-ex-a3?game=POCKET&format=standard&set=A4
Donphan ex Sylveon ex,6,0.06%,12 - 18 - 0,40.00%,/decks/donphan-ex-a4-sylveon-ex-a3b?game=POCKET&format=standard&set=A4
Arceus ex Silvally,6,0.06%,9 - 14 - 0,39.13%,/decks/arceus-ex-a2a-silvally-a3a?game=POCKET&format=standard&set=A4
Magnezone Pikachu ex,6,0.06%,8 - 16 - 0,33.33%,/decks/magnezone-a2-pikachu-ex-a2b?game=POCKET&format=standard&set=A4
Leafeon ex Celebi ex,6,0.06%,4 - 12 - 0,25.00%,/decks/leafeon-ex-a2a-celebi-ex-a1a?game=POCKET&format=standard&set=A4
Pikachu ex Tapu Koko ex,5,0.05%,21 - 15 - 0,58.33%,/decks/pikachu-ex-a1-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A4
Dragonite ex Zeraora,5,0.05%,17 - 13 - 0,56.67%,/decks/dragonite-ex-a3b-zeraora-a3a?game=POCKET&format=standard&set=A4
