Deck,Player,Date,Tournament,Placement,Player_Total,Score,Decklist_url,Tournament_url,Decklists
Suicune ex Greninja,FrogEX | Numatinale,2025-10-04,PocketMads - $100 Pocket Tournament #2,1.0,336.0,11 - 2 - 0,/tournament/68d059f0f661e4a158ddefd3/player/numatinale/decklist,/tournament/68d059f0f661e4a158ddefd3/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1"",""12"":""1""},""Card"":{""0"":""Froakie"",""1"":""Greninja"",""2"":""Suicune ex"",""3"":""Giratina ex"",""4"":""Professor's Research"",""5"":""Irida"",""6"":""Cyrus"",""7"":""Leaf"",""8"":""Mars"",""9"":""Rare Candy"",""10"":""Pok\u00e9 Ball"",""11"":""Repel"",""12"":""Giant Cape""},""Version"":{""0"":""(A1-87)"",""1"":""(A1-89)"",""2"":""(A4a-20)"",""3"":""(A2b-35)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Suicune ex Greninja,Hamza007,2025-09-01,🐸FrogEX Secluded Springs • 50 USD Prize🐸,1.0,326.0,12 - 1 - 1,/tournament/68b15467da2bf11ab1d5e27f/player/hamza007/decklist,/tournament/68b15467da2bf11ab1d5e27f/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""2"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Froakie"",""1"":""Greninja"",""2"":""Suicune ex"",""3"":""Giratina ex"",""4"":""Irida"",""5"":""Professor's Research"",""6"":""Cyrus"",""7"":""Mars"",""8"":""Leaf"",""9"":""Pok\u00e9 Ball"",""10"":""Rare Candy"",""11"":""Giant Cape""},""Version"":{""0"":""(A1-87)"",""1"":""(A1-89)"",""2"":""(A4a-20)"",""3"":""(A2b-35)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Suicune ex Greninja,Liamkrew,2025-09-11,🐸FrogEX Weekly Cup • 50 USD Prize [S3-7/12]🐸,1.0,256.0,11 - 2 - 0,/tournament/68bb4991827e9d163f837406/player/liamkrew/decklist,/tournament/68bb4991827e9d163f837406/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1"",""12"":""1""},""Card"":{""0"":""Froakie"",""1"":""Greninja"",""2"":""Suicune ex"",""3"":""Giratina ex"",""4"":""Professor's Research"",""5"":""Irida"",""6"":""Mars"",""7"":""Cyrus"",""8"":""Guzma"",""9"":""Pok\u00e9 Ball"",""10"":""Rare Candy"",""11"":""Repel"",""12"":""Giant Cape""},""Version"":{""0"":""(A1-87)"",""1"":""(A1-89)"",""2"":""(A4a-20)"",""3"":""(A2b-35)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Suicune ex Greninja,Danimaton,2025-09-07,PocketMads - Pocket Tournament ($100)!!!,2.0,452.0,13 - 4 - 0,/tournament/68b3c1a9da2bf11ab1d5fcb0/player/danimaton/decklist,/tournament/68b3c1a9da2bf11ab1d5fcb0/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1"",""12"":""1""},""Card"":{""0"":""Froakie"",""1"":""Greninja"",""2"":""Suicune ex"",""3"":""Giratina ex"",""4"":""Professor's Research"",""5"":""Irida"",""6"":""Cyrus"",""7"":""Leaf"",""8"":""Mars"",""9"":""Rare Candy"",""10"":""Pok\u00e9 Ball"",""11"":""Repel"",""12"":""Giant Cape""},""Version"":{""0"":""(A1-87)"",""1"":""(A1-89)"",""2"":""(A4a-20)"",""3"":""(A2b-35)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Suicune ex Greninja,sZero | frappesdrinker,2025-09-18,🐸FrogEX Weekly Cup • 50 USD Prize [S3-8/12]🐸,1.0,221.0,12 - 0 - 1,/tournament/68c30fd4da2bf11ab1d676c2/player/frappesdrinker/decklist,/tournament/68c30fd4da2bf11ab1d676c2/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1"",""12"":""1""},""Card"":{""0"":""Froakie"",""1"":""Greninja"",""2"":""Suicune ex"",""3"":""Giratina ex"",""4"":""Professor's Research"",""5"":""Irida"",""6"":""Cyrus"",""7"":""Mars"",""8"":""Leaf"",""9"":""Pok\u00e9 Ball"",""10"":""Rare Candy"",""11"":""Repel"",""12"":""Giant Cape""},""Version"":{""0"":""(A1-87)"",""1"":""(A1-89)"",""2"":""(A4a-20)"",""3"":""(A2b-35)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Suicune ex Greninja,Ishaan,2025-10-02,🐸FrogEX Weekly Cup • 50 USD Prize [S3-10/12]🐸,1.0,200.0,10 - 1 - 1,/tournament/68c31059da2bf11ab1d676d4/player/ishaan/decklist,/tournament/68c31059da2bf11ab1d676d4/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""2"",""9"":""2"",""10"":""1"",""11"":""2""},""Card"":{""0"":""Froakie"",""1"":""Greninja"",""2"":""Suicune ex"",""3"":""Giratina ex"",""4"":""Professor's Research"",""5"":""Irida"",""6"":""Cyrus"",""7"":""Mars"",""8"":""Rare Candy"",""9"":""Pok\u00e9 Ball"",""10"":""Repel"",""11"":""Giant Cape""},""Version"":{""0"":""(A1-87)"",""1"":""(A1-89)"",""2"":""(A4a-20)"",""3"":""(A2b-35)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Suicune ex Greninja,Hamza007,2025-10-11,PocketMads - $200 Pocket Tournament #3,2.0,385.0,11 - 2 - 1,/tournament/68e3c5197a2c388893cb4428/player/hamza007/decklist,/tournament/68e3c5197a2c388893cb4428/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""1"",""5"":""2"",""6"":""2"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1"",""12"":""1""},""Card"":{""0"":""Froakie"",""1"":""Greninja"",""2"":""Suicune ex"",""3"":""Giratina ex"",""4"":""Oricorio"",""5"":""Irida"",""6"":""Professor's Research"",""7"":""Mars"",""8"":""Cyrus"",""9"":""Pok\u00e9 Ball"",""10"":""Rare Candy"",""11"":""Repel"",""12"":""Giant Cape""},""Version"":{""0"":""(A1-87)"",""1"":""(A1-89)"",""2"":""(A4a-20)"",""3"":""(A2b-35)"",""4"":""(A3-66)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Suicune ex Greninja,Claudia_uwu,2025-09-10,Jules x Pabsy Cup #6 - $20 Prize Pool,1.0,175.0,11 - 2 - 0,/tournament/68bdad93da2bf11ab1d64ec2/player/claudia_uwu/decklist,/tournament/68bdad93da2bf11ab1d64ec2/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""1"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1"",""12"":""1"",""13"":""1""},""Card"":{""0"":""Froakie"",""1"":""Greninja"",""2"":""Suicune ex"",""3"":""Giratina ex"",""4"":""Professor's Research"",""5"":""Irida"",""6"":""Cyrus"",""7"":""Leaf"",""8"":""Mars"",""9"":""Rare Candy"",""10"":""Pok\u00e9 Ball"",""11"":""Repel"",""12"":""Red Card"",""13"":""Giant Cape""},""Version"":{""0"":""(A1-87)"",""1"":""(A1-89)"",""2"":""(A4a-20)"",""3"":""(A2b-35)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA"",""13"":""NA""}}"
Suicune ex Greninja,Ester,2025-09-13,Jeudy's Colosseum #1 ($100 USD Prize),2.0,325.0,12 - 2 - 0,/tournament/68bb35e2da2bf11ab1d63a4d/player/ester/decklist,/tournament/68bb35e2da2bf11ab1d63a4d/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""2"",""9"":""2"",""10"":""1"",""11"":""1"",""12"":""1""},""Card"":{""0"":""Froakie"",""1"":""Greninja"",""2"":""Suicune ex"",""3"":""Giratina ex"",""4"":""Professor's Research"",""5"":""Irida"",""6"":""Cyrus"",""7"":""Leaf"",""8"":""Pok\u00e9 Ball"",""9"":""Rare Candy"",""10"":""Red Card"",""11"":""Repel"",""12"":""Giant Cape""},""Version"":{""0"":""(A1-87)"",""1"":""(A1-89)"",""2"":""(A4a-20)"",""3"":""(A2b-35)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Suicune ex Greninja,Pey,2025-09-27,Pocket Legends League #41 (Season 4) - 120 USD,1.0,141.0,10 - 1 - 2,/tournament/68d4d47d7a2c388893cac53a/player/pey/decklist,/tournament/68d4d47d7a2c388893cac53a/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""1"",""4"":""1"",""5"":""2"",""6"":""2"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1"",""12"":""1""},""Card"":{""0"":""Froakie"",""1"":""Greninja"",""2"":""Suicune ex"",""3"":""Giratina ex"",""4"":""Oricorio"",""5"":""Irida"",""6"":""Professor's Research"",""7"":""Mars"",""8"":""Cyrus"",""9"":""Pok\u00e9 Ball"",""10"":""Rare Candy"",""11"":""Repel"",""12"":""Giant Cape""},""Version"":{""0"":""(A1-87)"",""1"":""(A1-89)"",""2"":""(A4a-20)"",""3"":""(A2b-35)"",""4"":""(A3-66)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
