Deck,Count,Share,Score,Win_Percentage,Deck_links
Suicune ex Greninja,2688,18.30%,7600 - 6476 - 352,52.68%,/decks/suicune-ex-a4a-greninja-a1?game=POCKET&format=standard&set=A4a
Giratina ex Darkrai ex,1590,10.82%,4305 - 3864 - 223,51.30%,/decks/giratina-ex-a2b-darkrai-ex-a2?game=POCKET&format=standard&set=A4a
Guzzlord ex,890,6.06%,2377 - 2177 - 124,50.81%,/decks/guzzlord-ex-a3a?game=POCKET&format=standard&set=A4a
Flareon ex Eevee ex,660,4.49%,1790 - 1635 - 58,51.39%,/decks/flareon-ex-eevee-ex-a3b?game=POCKET&format=standard&set=A4a
Espeon ex Sylveon ex,396,2.70%,993 - 950 - 34,50.23%,/decks/espeon-ex-a4-sylveon-ex-a3b?game=POCKET&format=standard&set=A4a
Darkrai ex Arceus ex,363,2.47%,937 - 881 - 42,50.38%,/decks/darkrai-ex-a2-arceus-ex-a2a?game=POCKET&format=standard&set=A4a
Buzzwole ex Pheromosa,313,2.13%,823 - 773 - 33,50.52%,/decks/buzzwole-ex-pheromosa-a3a?game=POCKET&format=standard&set=A4a
Greninja Oricorio,250,1.70%,691 - 569 - 58,52.43%,/decks/greninja-a1-oricorio-a3?game=POCKET&format=standard&set=A4a
Dragonite ex Dragonite,249,1.69%,539 - 596 - 19,46.71%,/decks/dragonite-ex-a3b-dragonite-a1?game=POCKET&format=standard&set=A4a
Arceus ex Pichu,233,1.59%,599 - 574 - 17,50.34%,/decks/arceus-ex-a2a-pichu-a4?game=POCKET&format=standard&set=A4a
Charizard ex,217,1.48%,527 - 536 - 29,48.26%,/decks/charizard-ex-a2b?game=POCKET&format=standard&set=A4a
Decidueye ex Decidueye,183,1.25%,433 - 446 - 28,47.74%,/decks/decidueye-ex-a3-decidueye-a3a?game=POCKET&format=standard&set=A4a
Silvally Rampardos,175,1.19%,504 - 457 - 33,50.70%,/decks/silvally-a3a-rampardos-a2?game=POCKET&format=standard&set=A4a
Silvally Zeraora,174,1.18%,467 - 424 - 20,51.26%,/decks/silvally-zeraora-a3a?game=POCKET&format=standard&set=A4a
Tapu Koko ex Pikachu ex,163,1.11%,440 - 370 - 16,53.27%,/decks/tapu-koko-ex-a3a-pikachu-ex-a2b?game=POCKET&format=standard&set=A4a
Raikou ex Magnezone,159,1.08%,361 - 406 - 9,46.52%,/decks/raikou-ex-a4a-magnezone-a2?game=POCKET&format=standard&set=A4a
Suicune ex Giratina ex,151,1.03%,418 - 368 - 17,52.05%,/decks/suicune-ex-a4a-giratina-ex-a2b?game=POCKET&format=standard&set=A4a
Pikachu ex Tapu Koko ex,139,0.95%,400 - 328 - 18,53.62%,/decks/pikachu-ex-a2b-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A4a
Tapu Koko ex Oricorio,136,0.93%,355 - 355 - 12,49.17%,/decks/tapu-koko-ex-a3a-oricorio-a3?game=POCKET&format=standard&set=A4a
Dragonite ex Sylveon ex,132,0.90%,339 - 323 - 7,50.67%,/decks/dragonite-ex-sylveon-ex-a3b?game=POCKET&format=standard&set=A4a
Raikou ex Pikachu ex,119,0.81%,276 - 333 - 3,45.10%,/decks/raikou-ex-a4a-pikachu-ex-a2b?game=POCKET&format=standard&set=A4a
Raikou ex Tapu Koko ex,117,0.80%,302 - 285 - 11,50.50%,/decks/raikou-ex-a4a-tapu-koko-ex-a3a?game=POCKET&format=standard&set=A4a
Exeggutor ex Alolan Exeggutor,116,0.79%,278 - 314 - 7,46.41%,/decks/exeggutor-ex-a1-alolan-exeggutor-a3?game=POCKET&format=standard&set=A4a
Silvally Pichu,99,0.67%,250 - 247 - 7,49.60%,/decks/silvally-a3a-pichu-a4?game=POCKET&format=standard&set=A4a
